id,jugador,equipo,puntaje,fecha
272,"Federico Girotti",Talleres,6,18
273,"Juan Camilo Portilla",Talleres,6,18
274,"Alejandro Martínez",Talleres,6,18
275,"Matías Esquivel",Talleres,6,18
276,"Valentín Depietri",Talleres,6,18
277,"Bruno Barticciotto",Talleres,6,18
278,"Ramiro Ruiz",Talleres,5,18
279,"Cristian Tarragona",Talleres,5,18
280,"Guido Herrera",Talleres,5,18
281,"Jaminton Campaz","Rosario Central",7,18
282,"Víctor Malcorra","Rosario Central",7,18
283,"Franco Ibarra","Rosario Central",7,18
284,"Emanuel Coronel","Rosario Central",7,18
285,"Carlos Quintana","Rosario Central",7,18
286,"Cristian Núñez",Banfield,7,18
287,"Agustín Sández","Rosario Central",6,18
288,"Alexis Maldonado",Banfield,6,18
289,"Facundo Sanguinetti",Banfield,6,18
290,"Luciano Recalde",Banfield,6,18
291,"Ezequiel Cañete",Banfield,6,18
292,"Mathías De Ritis",Banfield,6,18
293,"Braian Galván",Banfield,6,18
294,"Juan Iribarren",Banfield,6,18
295,"Marco Ruben","Rosario Central",6,18
296,"Facundo Mallo","Rosario Central",6,18
297,"Enzo Copetti","Rosario Central",6,18
298,"Kevin Ortíz","Rosario Central",6,18
299,"Alejandro Maciel",Banfield,6,18
300,"Leandro Garate",Banfield,6,18
301,"Lautaro Gómez",Banfield,6,18
302,"Juan Bisanz",Banfield,6,18
303,"Jonathan David Gómez","Rosario Central",6,18
304,"Gaspar Duarte","Rosario Central",6,18
305,"Bruno Sepúlveda",Banfield,6,18
306,"Ramiro Di Luciano",Banfield,6,18
307,"Geronimo Rivera",Banfield,6,18
308,"Augusto Solari","Rosario Central",6,18
309,"Jorge Broun","Rosario Central",6,18
310,"Alexis Manyoma",Estudiantes,8,18
311,"Santiago Ascacíbar",Estudiantes,8,18
312,"Facundo Rodríguez",Estudiantes,7,18
313,"Gastón Benedetti",Estudiantes,7,18
314,"Damián Puebla",Instituto,7,18
315,"Enzo Pérez",Estudiantes,7,18
316,"José Sosa",Estudiantes,7,18
317,"Eric Meza",Estudiantes,7,18
318,"Sebastián Boselli",Estudiantes,7,18
319,"Fernando Alarcón",Instituto,7,18
320,"Gabriel Neves",Estudiantes,7,18
321,"Giuliano Cerato",Instituto,6,18
322,"Joaquín Burgos",Estudiantes,6,18
323,"Luciano Lollo",Estudiantes,6,18
324,"Jonathan Bay",Instituto,6,18
325,"Fabricio Pérez",Estudiantes,6,18
326,"Bautista Kociubinski",Estudiantes,6,18
327,"Gonzalo Requena",Instituto,6,18
328,"Facundo Suárez",Instituto,6,18
329,"Luciano Giménez",Estudiantes,6,18
330,"Gastón Lodico",Instituto,6,18
331,"Damián Batallini",Instituto,6,18
332,"Matías Mansilla",Estudiantes,6,18
333,"Gregorio Rodríguez",Instituto,6,18
334,"Jonás Acevedo",Instituto,6,18
335,"Nicolás Dubersarsky",Instituto,6,18
336,"Lautaro Carrera",Instituto,6,18
337,"Stéfano Moreyra",Instituto,6,18
338,"Ignacio Russo",Instituto,6,18
339,"Miguel Brizuela",Instituto,6,18
340,"Manuel Roffo",Instituto,5,18
341,"Alexis Cuello","San Lorenzo",8,18
342,"Eric Remedi","San Lorenzo",7,18
343,"Ezequiel Cerutti","San Lorenzo",7,18
344,"Elian Irala","San Lorenzo",7,18
345,"Elías Báez","San Lorenzo",7,18
346,"Fabricio López","San Lorenzo",7,18
347,"Gastón Campi","San Lorenzo",7,18
348,"Jhohan Romaña","San Lorenzo",7,18
349,"Carlos Sánchez","Barracas Central",6,18
350,"Nahuel Barrios","San Lorenzo",6,18
351,"Nahuel Bustos","San Lorenzo",6,18
352,"Gonzalo Goñi","Barracas Central",6,18
353,"Andrés Vombergar","San Lorenzo",6,18
354,"Iker Muniain","San Lorenzo",6,18
355,"Ivan Leguizamon","San Lorenzo",6,18
356,"Nicolás Demartini","Barracas Central",6,18
357,"Alan Cantero","Barracas Central",6,18
358,"Gastón Gómez","San Lorenzo",6,18
359,"Rodrigo Herrera","Barracas Central",6,18
360,"Siro Rosane","Barracas Central",6,18
361,"Alexis Dominguez","Barracas Central",6,18
362,"Rafael Ferrario","Barracas Central",6,18
363,"Dardo Miloc","Barracas Central",6,18
364,"Rodrigo Insúa","Barracas Central",6,18
365,"Lucas Brochero","Barracas Central",6,18
366,"Javier Ruiz","Barracas Central",6,18
367,"Iván Tapia","Barracas Central",6,18
368,"Alex Juárez","Barracas Central",6,18
369,"Jhonatan Candia","Barracas Central",6,18
370,"Maximiliano Zalazar","Barracas Central",6,18
371,"Santino Andino","Godoy Cruz",8,18
372,"Gonzalo Abrego","Godoy Cruz",8,18
373,"Franco Petroli","Godoy Cruz",7,18
374,"Salomón Rodríguez","Godoy Cruz",7,18
375,"Matko Miljevic","Newell's OB",7,18
376,"Pier Barrios","Godoy Cruz",7,18
377,"Federico Rasmussen","Godoy Cruz",7,18
378,"Roberto Nicolás Fernández","Godoy Cruz",7,18
379,"Facundo Altamira","Godoy Cruz",7,18
380,"Mateo Silvetti","Newell's OB",7,18
381,"Bruno Leyes","Godoy Cruz",7,18
382,"Saúl Salcedo","Newell's OB",7,18
383,"Elías Pereyra","Godoy Cruz",7,18
384,"Ángelo Martino","Newell's OB",7,18
385,"Armando Méndez","Newell's OB",6,18
386,"Gustavo Velásquez","Newell's OB",6,18
387,"Lucas Arce","Godoy Cruz",6,18
388,"Mateo Mendoza","Godoy Cruz",6,18
389,"Daniel Barrea","Godoy Cruz",6,18
390,"Martín Pino","Godoy Cruz",6,18
391,"Vicente Poggi","Godoy Cruz",6,18
392,"Tomás Pérez","Newell's OB",6,18
393,"Ramiro Macagno","Newell's OB",6,18
394,"Juan Manuel García","Newell's OB",6,18
395,"Juan Ignacio Ramírez","Newell's OB",6,18
396,"Fernando David Cardozo","Newell's OB",6,18
397,"Agustín Juárez","Newell's OB",6,18
398,"Francisco González","Newell's OB",6,18
399,"Valentino Acuña","Newell's OB",6,18
400,"Pablo Altamirano","Newell's OB",6,18
401,"Hernán Galíndez",Huracán,7,18
402,"Fabio Pereyra",Huracán,7,18
403,"Federico Fattori",Huracán,7,18
404,"Lucas Carrizo",Huracán,7,18
405,"Guillermo Benítez",Huracán,7,18
406,"Fernando Tobio",Huracán,7,18
407,"Joaquín Mosqueira",Unión,7,18
408,"Eric Ramírez",Huracán,7,18
409,"Franco Pardo",Unión,7,18
410,"Rodrigo Echeverría",Huracán,7,18
411,"Héctor Fértoli",Huracán,7,18
412,"Lautaro Vargas",Unión,7,18
413,"Adrián Balboa",Unión,7,18
414,"Alan Soñora",Huracán,6,18
415,"Mauro Pittón",Unión,6,18
416,"Rodrigo Cabral",Huracán,6,18
417,"Nicolás Orsini",Unión,6,18
418,"Bruno Pittón",Unión,6,18
419,"Sebastián Ramírez",Huracán,6,18
420,"Hernán De La Fuente",Huracán,6,18
421,"Miguel Ángel Torrén",Unión,6,18
422,"Ramón Ábila",Huracán,6,18
423,"Lucas Souto",Huracán,6,18
424,"Claudio Corvalán",Unión,6,18
425,"Enzo Martín Roldán",Unión,6,18
426,"Javier Morales",Unión,6,18
427,"Thiago Cardozo",Unión,6,18
428,"Lucas Gamba",Unión,6,18
429,"Francisco Gerometta",Unión,6,18
430,"Mateo Del Blanco",Unión,6,18
431,"Simón Rivero",Unión,5,18
