fecha,jugador,equipo,puntaje
1,Roger Martínez,Racing Club,8.460994549302947
1,Baltasar Gallego,Racing Club,8.321916984490407
1,Mariano Troilo,Belgrano,7.99077005129201
1,Bryan Reyna,Belgrano,7.2614136923223676
1,Johan Carbonero,Racing Club,7.172849992718967
1,Leonardo Sigali,Racing Club,7.0516041207089915
1,Matias Moreno,Belgrano,6.600892017525432
1,Nazareno Colombo,Racing Club,6.582385038797598
1,Facundo Lencioni,Belgrano,6.565975837280595
1,Matías Marín,Belgrano,6.510602138562894
1,Santiago Sosa,Racing Club,6.433963564970548
1,Gabriel Rojas,Racing Club,6.339807925196636
1,Agustín Urzi,Racing Club,6.293865918888587
1,Esteban Rolón,Belgrano,6.1725948132276285
1,Facundo Quignon,Belgrano,6.168179382977649
1,Alejandro Rébola,Belgrano,6.110248127064276
1,Gerónimo Heredia,Belgrano,6.0769142003128795
1,Juan Nardoni,Racing Club,6.075089309553526
1,Agustín Almendra,Racing Club,6.0621851453092495
1,Francisco González,Belgrano,6.061326689831432
1,Juan Velazquez,Belgrano,6.052989433812176
1,Gastón Martirena,Racing Club,5.984988798920208
1,Juan Barinaga,Belgrano,5.978005273401047
1,Santiago Solari,Racing Club,5.941745749800663
1,Marco Di Cesare,Racing Club,5.8593454144917025
1,Iván Pillud,Racing Club,5.754172067738461
1,Ignacio Galván,Racing Club,5.384276554021606
1,Francisco Facello,Belgrano,5.367604035718219
1,Agustín Baldi,Belgrano,5.19165958084068
1,Facundo Cambeses,Racing Club,4.315187670691331
1,Nahuel Losada,Belgrano,3.999003478613794
1,Mateo Coronel,Atlé Tucumán,7.4295265858740684
1,Juan Infante,Atlé Tucumán,7.247833031188185
1,Tomás Durso,Atlé Tucumán,7.137191306645673
1,Sergio Romero,Boca Juniors,6.974535757175746
1,Jorge Figal,Boca Juniors,6.587643596353649
1,Agustín Lagos,Atlé Tucumán,6.528400631922752
1,Jabes Saralegui,Boca Juniors,6.387290555308994
1,Joaquín Pereyra,Atlé Tucumán,6.382927656437783
1,Ezequiél Fernández,Boca Juniors,6.379830630235927
1,Guillermo Acosta,Atlé Tucumán,6.378291588076975
1,Mateo Bajamich,Atlé Tucumán,6.369700586880078
1,Milton Delgado,Boca Juniors,6.33342662710666
1,Adrián Guillermo Sánchez,Atlé Tucumán,6.313830192625791
1,Renzo Tesuri,Atlé Tucumán,6.2725687129079315
1,Nicolás Romero,Atlé Tucumán,6.233497469470112
1,Francisco Flores,Atlé Tucumán,6.231439340155461
1,Miguel Merentiel,Boca Juniors,6.201302038342491
1,Lautaro Di Lollo,Boca Juniors,6.1885028862034765
1,Cristian Medina,Boca Juniors,6.097883812584341
1,Lucas Janson,Boca Juniors,6.088982446821452
1,Luca Langoni,Boca Juniors,6.061330393024757
1,Luis Advíncula,Boca Juniors,6.021117589003171
1,Frank Fabra,Boca Juniors,5.995755582494095
1,Tomás Castro,Atlé Tucumán,5.9597655933358356
1,Marcelo Estigarribia,Atlé Tucumán,5.87650745890514
1,Justo Giani,Atlé Tucumán,5.840257918503595
1,Lautaro Blanco,Boca Juniors,5.792545780358726
1,Iker Zufiaurre,Boca Juniors,5.7301423984664
1,Matías Orihuela,Atlé Tucumán,5.716790595340236
1,Claudio Aquino,Vélez Sarsfield,7.7104909575245415
1,Rodrigo Castillo,Gimnasia–LP,7.49788409838847
1,Lucas Castro,Gimnasia–LP,7.326164643207343
1,Nicolás Colazo,Gimnasia–LP,7.2996510171999915
1,Yonathan Cabral,Gimnasia–LP,7.239285568854617
1,Pablo de Blasis,Gimnasia–LP,7.110659958343475
1,Matías Abaldo,Gimnasia–LP,7.106003789527309
1,Matías Pellegrini,Vélez Sarsfield,7.093137813448071
1,Juan Pintado,Gimnasia–LP,7.000293916142341
1,Benjamín Domínguez,Gimnasia–LP,6.826611415155813
1,Nelson Insfrán,Gimnasia–LP,6.6695749655623695
1,Leonardo Morales,Gimnasia–LP,6.65293492894581
1,Agustín Bouzat,Vélez Sarsfield,6.627409978079749
1,Emanuel Mammana,Vélez Sarsfield,6.44217822550896
1,Valentín Gómez,Vélez Sarsfield,6.33369251657703
1,Francisco Pizzini,Vélez Sarsfield,6.3273779635374305
1,Joaquín García,Vélez Sarsfield,6.285442761919634
1,Christian Ordoñez,Vélez Sarsfield,6.176535358456419
1,Rodrigo Saravia,Gimnasia–LP,6.145094294289824
1,Thiago Fernández,Vélez Sarsfield,6.05471070119218
1,Eric Ramírez,Gimnasia–LP,5.992108488308522
1,Felipe Sánchez,Gimnasia–LP,5.923480303145422
1,David Zalazar,Gimnasia–LP,5.835203769133759
1,Yonatan Rodríguez,Gimnasia–LP,5.82504617348553
1,Alejo Sarco,Vélez Sarsfield,5.8214912857969665
1,Leonardo Jara,Vélez Sarsfield,5.786039163467963
1,Rodrigo Piñeiro,Vélez Sarsfield,5.775307988189785
1,Tomás Marchiori,Vélez Sarsfield,5.772424783510936
1,Braian Romero,Vélez Sarsfield,5.710993387051604
1,Elías Gómez,Vélez Sarsfield,5.571682818018943
1,Mauro Luna Diale,Unión,7.561689760623954
1,Nicolás Orsini,Unión,7.4291914268319745
1,Jerónimo Domina,Unión,7.274811087823878
1,Facundo Sanguinetti,Banfield,7.145778814634717
1,Juan Álvarez,Banfield,6.8525102054731395
1,Emanuel Insúa,Banfield,6.6464199278203635
1,Thiago Cardozo,Unión,6.585468505992256
1,Claudio Corvalán,Unión,6.580493491443345
1,Bruno Pittón,Unión,6.554292475417864
1,Yvo Calleros,Banfield,6.54102899416242
1,Lautaro Vargas,Unión,6.440963877953585
1,Franco Pardo,Unión,6.394366339541635
1,Mauro Pittón,Unión,6.39025511334785
1,Ignacio Rodríguez,Banfield,6.35245197947973
1,Alejandro Maciel,Banfield,6.313545390535182
1,Lucas Gamba,Unión,6.299205015892858
1,Braian Galván,Banfield,6.243337276758203
1,Milton Giménez,Banfield,6.222670673508509
1,Ezequiel Bonifacio,Banfield,6.13322480603475
1,Nicolás Paz,Unión,6.111783732336571
1,Simón Rivero,Unión,6.017572211956542
1,Adrián Balboa,Unión,5.995019919348517
1,Cristian Núñez,Banfield,5.897886400404571
1,Marcos Echeverría,Banfield,5.888751779571228
1,Javier Morales,Unión,5.885961240117129
1,Matías González,Banfield,5.863708227225807
1,Tiago Banega,Unión,5.8430818878405955
1,Valentín Fascendini,Unión,5.842134595001846
1,Bruno Sepúlveda,Banfield,5.795394356400254
1,Jesús Soraire,Banfield,5.78369096989118
1,Aaron Quirós,Banfield,5.270556431726535
